epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,1366.42,1.27799,1.20407,1.65638,0.72707,0.72203,0.74913,0.42113,1.4374,1.01417,1.72609,0.0011684,0.0011684,0.0011684
44,1390.85,1.20199,1.09864,1.60549,0.7842,0.78115,0.80731,0.45096,1.45889,0.98193,1.70765,0.0011486,0.0011486,0.0011486
45,1414.59,1.28149,1.16583,1.65289,0.82022,0.70093,0.82898,0.44524,1.57404,1.03303,1.84626,0.0011288,0.0011288,0.0011288
46,1439.19,1.25856,1.15587,1.63185,0.76363,0.83178,0.85172,0.44919,1.55537,0.91626,1.80196,0.001109,0.001109,0.001109
47,1463.6,1.23571,1.06561,1.61427,0.79865,0.75701,0.82166,0.41993,1.69964,1.0586,1.88539,0.0010892,0.0010892,0.0010892
48,1488.25,1.19834,1.0915,1.60071,0.78929,0.79439,0.84304,0.4819,1.49151,0.91077,1.73826,0.0010694,0.0010694,0.0010694
49,1512.11,1.30425,1.17987,1.68975,0.7935,0.72897,0.80282,0.44381,1.59434,1.22352,1.75218,0.0010496,0.0010496,0.0010496
50,1534.74,1.22287,1.13917,1.62855,0.7739,0.7757,0.78046,0.45767,1.49998,0.91543,1.76988,0.0010298,0.0010298,0.0010298
51,1557.43,1.18751,1.08202,1.57851,0.83408,0.79872,0.84749,0.51376,1.44473,0.84543,1.67267,0.00101,0.00101,0.00101
52,1580.7,1.25543,1.07525,1.61183,0.82474,0.75701,0.86217,0.50194,1.42497,0.87018,1.67663,0.0009902,0.0009902,0.0009902
53,1603.55,1.22447,1.04477,1.6143,0.75573,0.8096,0.85006,0.49487,1.48303,0.85026,1.72449,0.0009704,0.0009704,0.0009704
54,1626.48,1.16824,1.04244,1.58029,0.7771,0.81456,0.82959,0.46499,1.4926,0.94248,1.74238,0.0009506,0.0009506,0.0009506
55,1649.5,1.23549,1.07578,1.60922,0.87535,0.68224,0.81941,0.44787,1.5713,1.04938,1.77956,0.0009308,0.0009308,0.0009308
56,1672.41,1.24495,1.07986,1.59589,0.74059,0.83178,0.83046,0.44924,1.56656,0.91754,1.768,0.000911,0.000911,0.000911
57,1695.32,1.20633,1.04273,1.58694,0.80638,0.76636,0.83197,0.48908,1.49671,0.89937,1.72089,0.0008912,0.0008912,0.0008912
58,1718.31,1.1817,1.10363,1.57276,0.73383,0.79877,0.79068,0.47092,1.44134,0.87009,1.66101,0.0008714,0.0008714,0.0008714
59,1741.38,1.2091,1.02428,1.58777,0.85746,0.78711,0.85238,0.47955,1.55723,0.79029,1.76579,0.0008516,0.0008516,0.0008516
60,1764.44,1.17084,1.01465,1.5614,0.85771,0.7757,0.84712,0.51021,1.41134,0.80186,1.65233,0.0008318,0.0008318,0.0008318
61,1787.43,1.24952,1.03189,1.63163,0.8237,0.82964,0.85769,0.51765,1.37915,0.85616,1.62895,0.000812,0.000812,0.000812
62,1810.47,1.14374,0.98376,1.52448,0.8418,0.82243,0.87103,0.5102,1.40549,0.82823,1.64165,0.0007922,0.0007922,0.0007922
63,1833.44,1.21348,1.02302,1.57702,0.85723,0.74766,0.84303,0.50029,1.39155,0.87162,1.64542,0.0007724,0.0007724,0.0007724
64,1856.19,1.16731,1.01051,1.59353,0.83086,0.7757,0.86281,0.50202,1.43064,0.92277,1.65461,0.0007526,0.0007526,0.0007526
65,1879.09,1.15059,1.00159,1.53969,0.8255,0.80374,0.87173,0.51531,1.43204,0.83244,1.66748,0.0007328,0.0007328,0.0007328
66,1902.13,1.1663,0.99076,1.53474,0.80595,0.7763,0.83469,0.48205,1.57902,1.01096,1.81483,0.000713,0.000713,0.000713
67,1924.88,1.18663,1.04108,1.57663,0.89781,0.7757,0.86907,0.51771,1.44231,0.7705,1.68194,0.0006932,0.0006932,0.0006932
68,1948.11,1.16019,0.98331,1.58404,0.86082,0.83178,0.89368,0.52786,1.42009,0.74283,1.64853,0.0006734,0.0006734,0.0006734
69,1971.3,1.17046,1.0119,1.56162,0.89758,0.81908,0.90455,0.52075,1.46902,0.70812,1.67808,0.0006536,0.0006536,0.0006536
70,1994.33,1.12148,0.96907,1.51747,0.8777,0.80374,0.88156,0.48104,1.59155,0.74934,1.77237,0.0006338,0.0006338,0.0006338
71,2017.14,1.14522,0.95605,1.53435,0.85374,0.8183,0.89575,0.49908,1.49665,0.72855,1.72173,0.000614,0.000614,0.000614
72,2040.22,1.14751,0.92463,1.53598,0.90211,0.7757,0.85875,0.48594,1.48601,0.80011,1.69961,0.0005942,0.0005942,0.0005942
73,2063.45,1.15044,0.94422,1.53668,0.82427,0.82243,0.8656,0.50051,1.41015,0.81404,1.63811,0.0005744,0.0005744,0.0005744
74,2086.69,1.15637,0.94702,1.5282,0.78234,0.82243,0.8604,0.50759,1.43331,0.8006,1.68389,0.0005546,0.0005546,0.0005546
75,2109.7,1.12387,0.94419,1.53983,0.75851,0.88066,0.86575,0.50339,1.46389,0.77073,1.71714,0.0005348,0.0005348,0.0005348
76,2132.95,1.10369,0.9124,1.52153,0.84429,0.81083,0.86846,0.50658,1.49775,0.80328,1.71607,0.000515,0.000515,0.000515
77,2155.94,1.10512,0.88979,1.50231,0.81887,0.81308,0.85803,0.5106,1.45646,0.80798,1.67222,0.0004952,0.0004952,0.0004952
78,2178.9,1.09165,0.89473,1.49157,0.84034,0.78505,0.85539,0.51868,1.37509,0.78525,1.62643,0.0004754,0.0004754,0.0004754
79,2202.11,1.10413,0.82898,1.50396,0.78723,0.81308,0.84666,0.49895,1.46414,0.7969,1.68548,0.0004556,0.0004556,0.0004556
80,2225.41,1.10509,0.9026,1.52552,0.81187,0.80662,0.85408,0.48742,1.50152,0.79746,1.7067,0.0004358,0.0004358,0.0004358
81,2248.53,1.10769,0.88942,1.51882,0.84674,0.78505,0.86033,0.48245,1.53521,0.8176,1.71367,0.000416,0.000416,0.000416
82,2271.55,1.03846,0.84136,1.46394,0.80847,0.79439,0.87137,0.48905,1.53855,0.8284,1.72434,0.0003962,0.0003962,0.0003962
83,2294.57,1.09755,0.87614,1.50241,0.73506,0.86916,0.85953,0.49167,1.50411,0.82725,1.70995,0.0003764,0.0003764,0.0003764
84,2317.68,1.09608,0.8741,1.51467,0.74711,0.73832,0.82458,0.49102,1.45774,0.94983,1.63771,0.0003566,0.0003566,0.0003566
85,2340.74,1.07554,0.91861,1.48485,0.77291,0.76344,0.84233,0.50966,1.427,0.93239,1.63693,0.0003368,0.0003368,0.0003368
86,2363.7,1.07342,0.89486,1.49909,0.81933,0.82243,0.87277,0.51857,1.46999,0.75303,1.72039,0.000317,0.000317,0.000317
87,2385.92,1.07394,0.87173,1.49266,0.81733,0.84112,0.87374,0.52431,1.44115,0.75708,1.67794,0.0002972,0.0002972,0.0002972
88,2407.78,1.06536,0.86518,1.4971,0.83881,0.80374,0.85113,0.50977,1.48501,0.80549,1.69588,0.0002774,0.0002774,0.0002774
89,2430.75,1.05359,0.87912,1.48399,0.84231,0.79873,0.84308,0.50316,1.46879,0.79366,1.68981,0.0002576,0.0002576,0.0002576
90,2453.79,1.03015,0.80067,1.44512,0.8547,0.82243,0.85633,0.50793,1.47107,0.76176,1.69329,0.0002378,0.0002378,0.0002378
91,2486.53,0.95059,0.66328,1.47914,0.8508,0.82243,0.8535,0.51103,1.50806,0.80258,1.72314,0.000218,0.000218,0.000218
92,2509.14,0.96992,0.65105,1.45738,0.86609,0.78579,0.86979,0.50697,1.54221,0.84312,1.72786,0.0001982,0.0001982,0.0001982
93,2530.61,0.95528,0.60361,1.47716,0.83726,0.81744,0.8776,0.52503,1.47116,0.81543,1.68194,0.0001784,0.0001784,0.0001784
94,2553.26,0.91663,0.60524,1.4223,0.79684,0.80646,0.86631,0.51203,1.51924,0.78561,1.73708,0.0001586,0.0001586,0.0001586
95,2575.84,0.89966,0.60109,1.44171,0.83473,0.80246,0.85889,0.52125,1.51781,0.78651,1.722,0.0001388,0.0001388,0.0001388
96,2598.51,0.91822,0.59534,1.43146,0.83045,0.81308,0.86174,0.53425,1.4619,0.7425,1.69015,0.000119,0.000119,0.000119
97,2621.25,0.91929,0.54083,1.4075,0.84578,0.82009,0.86494,0.52967,1.43268,0.73267,1.67061,9.92e-05,9.92e-05,9.92e-05
98,2643.31,0.90002,0.56675,1.42248,0.83957,0.82243,0.85879,0.51813,1.43321,0.73674,1.66999,7.94e-05,7.94e-05,7.94e-05
99,2664.39,0.90158,0.579,1.41499,0.83895,0.80374,0.86024,0.51804,1.44236,0.74653,1.67052,5.96e-05,5.96e-05,5.96e-05
100,2686.94,0.85256,0.54308,1.37338,0.82927,0.79439,0.85546,0.5273,1.42233,0.75074,1.65986,3.98e-05,3.98e-05,3.98e-05
